,Windows,Mac,Linux,engine,release_date,genre,theme,players,score_final,rating,link
11319,True, True, True,Custom Built,Released 2009,Role Playing,Comedy,Single Player,8.8,6 v, http://indiedb.com/games/shadow-of-time-4
11320,True, True, True,Spring,Released 2009,Real Time Strategy,Sci-Fi,Single & Multiplayer,8.1,22 , http://indiedb.com/games/pure
11323,True, False, False,Custom Built,Released 2009,Real Time Strategy,War,Single Player,7.4,5 v, http://indiedb.com/games/search-and-destroy-ppt
11324,True, False, False,GameStudio A6 / A7,Released 2009,Party,Comic,Single Player,10.0,7 v, http://indiedb.com/games/putup
11325,True, True, False,Custom Built,Released 2009,Adventure,Comedy,Single Player,10.0,1 v, http://indiedb.com/games/wildhollow
11326,True, True, False,Custom Built,Released 2010,Third Person Shooter,War,Multiplayer,10.0,1 v, http://indiedb.com/games/ludicrous
11327,True, False, False,Torque Game Engine Advanced,Released 2009,Puzzle Compilation,Sci-Fi,Single Player,9.5,6 v, http://indiedb.com/games/tesseract
11328,True, False, False,Custom Built,Released 2009,Puzzle Compilation,Realism,Single Player,1.7,3 v, http://indiedb.com/games/cubism
11329,True, False, False,Microsoft office powerpoint,Released 2009,Tactical Shooter,Fighter,Single Player,3.6,10 , http://indiedb.com/games/stress-defender
11330,True, False, False,Microsoft office powerpoint,Released 2009,Virtual Life,Sci-Fi,Single Player,4.5,15 , http://indiedb.com/games/hacker
11331,True, True, False,Custom Built,Released 2009,Soccer,Sport,Single Player,8.1,7 v, http://indiedb.com/games/new-star-soccer-2010
11333,True, False, False,GameStudio A6 / A7,Released 2009,Puzzle Compilation,Comic,Single Player,9.4,7 v, http://indiedb.com/games/cubme
11334,True, False, False,GameMaker: Studio,Released 2009,Role Playing,Comedy,Single Player,3.3,4 v, http://indiedb.com/games/death-story
11335,True, False, False,Quake Engine,Released 2005,First Person Shooter,Sci-Fi,Single & Multiplayer,6.6,15 , http://indiedb.com/games/ezquake
11336,True, True, True,Custom Built,Released 2009,Platformer,Sci-Fi,Single Player,8.7,6 v, http://indiedb.com/games/asciiportal
11339,True, True, True,Custom Built,Released 2006,Turn Based Strategy,Sci-Fi,Multiplayer,6.2,6 v, http://indiedb.com/games/battle-dawn
11340,True, False, False,Custom Built,Released 2009,Puzzle Compilation,Comic,Single Player,10.0,3 v, http://indiedb.com/games/the-magic-toy-chest
11341,True, False, False,Custom Built,Released 2007,Platformer,Comedy,Single Player,6.0,5 v, http://indiedb.com/games/storked
11342,True, False, False,Torque Game Engine,Released 2005,First Person Shooter,Fantasy,Multiplayer,5.8,10 , http://indiedb.com/games/age-of-time
11343,True, False, False,Custom Built,Released 2008,Adventure,Fantasy,Single Player,3.0,2 v, http://indiedb.com/games/quantums
11344,True, False, False,Custom Built,Released 2009,First Person Shooter,War,Single Player,7.0,4 v, http://indiedb.com/games/mean-warfare
11345,True, False, False,FPSC,Released 2009,First Person Shooter,Horror,Single & Multiplayer,4.4,5 v, http://indiedb.com/games/prototype-5364
11346,True, False, False,FPSC,Released 2009,First Person Shooter,War,Single & Multiplayer,3.1,7 v, http://indiedb.com/games/allied-strike
11347,True, False, False,Multimedia Fusion,Released 2009,Platformer,Comedy,Single Player,6.2,6 v, http://indiedb.com/games/ten-ton-ninja
11349,True, False, False,GameMaker: Studio,Released 2010,Turn Based Strategy,Realism,Single Player,6.0,1 v, http://indiedb.com/games/kontinensek-continents
11350,True, False, False,Build,Released 2008,First Person Shooter,Horror,Single Player,6.7,52 , http://indiedb.com/games/zombie-crisis
11351,True, False, False,Realm Crafter,Released 2009,Adventure,Fantasy,MMO,3.4,13 , http://indiedb.com/games/rpworld
11352,True, False, True,Custom Built,Released 2007,Turn Based Strategy,Fantasy,Single & Multiplayer,9.1,9 v, http://indiedb.com/games/8-kingdoms
11353,True, False, False,Custom Built,Released 2009,Role Playing,Sci-Fi,Single & Multiplayer,4.9,8 v, http://indiedb.com/games/star-trek-battles-of-the-dominionwar
11354,True, False, False,GameStudio A6 / A7,Released 2006,Futuristic Sim,Sci-Fi,Single Player,8.9,53 , http://indiedb.com/games/sgc-3d-simulator
11356,True, False, False,Unknown,Released 2009,First Person Shooter,Fighter,Single Player,7.7,16 , http://indiedb.com/games/deadly-tower
11357,True, False, True,Custom Built,Released 2008,Turn Based Strategy,War,Multiplayer,7.1,9 v, http://indiedb.com/games/tactcial-shiftarena
11358,True, True, True,Custom Built,Released 2009,Fighting,Comic,Single & Multiplayer,9.4,10 , http://indiedb.com/games/gravema
11359,True, False, False,Unknown,Released 2005,Real Time Strategy,War,Single & Multiplayer,9.6,13 , http://indiedb.com/games/defeat-in-detail-2
11360,True, False, False,Torque Game Engine,Released 2009,Adventure,Sci-Fi,Single Player,5.0,3 v, http://indiedb.com/games/judicator
